recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Asperges met Parmezaanse kaas,150.0,3.0,0.0,0.0,9.0,11.0,0.0,0.0
Asperges met beenham en bieslooksaus,415.0,46.0,0.0,725.0,19.0,16.0,9.0,5.0
Asperges met beenham en krieltjes,285.0,33.0,0.0,570.0,12.0,10.0,6.0,6.0
Asperges met botersaus,495.0,60.0,0.0,375.0,14.0,20.0,10.0,9.0
"Asperges met ei-peterselieboter, krieltjes en pastrami",510.0,55.0,0.0,720.0,22.0,20.0,12.0,11.0
Asperges met zalm uit de oven,550.0,46.0,0.0,733.0,24.0,25.0,11.0,5.0
Asperges met zeekraal,280.0,28.0,0.0,0.0,5.0,15.0,0.0,0.0
Aspergesalade met champignons,495.0,5.0,0.0,0.0,20.0,44.0,0.0,0.0
Aspergesalade met gegrilde romaine,360.0,5.0,0.0,160.0,13.0,31.0,7.0,3.0
Aspergesalade met rucola en ham,240.0,8.0,4.0,360.0,8.0,19.0,3.0,2.0
Aspergesoep,340.0,18.0,0.0,0.0,5.0,27.0,0.0,0.0
Aspergesoep met ham en ei ,290.0,13.0,0.0,1145.0,10.0,21.0,12.0,4.0
Aspergetagliatelle met warmgerookte zalm en ei,550.0,38.0,0.0,480.0,28.0,31.0,6.0,4.0
Aspergetortilla,305.0,20.0,0.0,0.0,13.0,19.0,0.0,0.0
Atjar tjampoer,150.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
Atomic buffalo turds,295.0,12.0,0.0,1680.0,10.0,23.0,12.0,1.0
Aubergine met batata harra (pittige aardappel),340.0,35.0,0.0,195.0,6.0,18.0,4.0,6.0
Aubergine met bosui,240.0,5.0,0.0,0.0,2.0,23.0,0.0,0.0
Aubergine met ketjap glaze,215.0,26.0,25.0,920.0,4.0,9.0,2.0,6.0
Aubergine met lam en couscous,745.0,74.0,0.0,0.0,29.0,32.0,0.0,0.0
"Aubergine met mozzarella, tomaat en pesto",325.0,6.0,0.0,445.0,11.0,28.0,9.0,3.0
Aubergine uit de oven,175.0,12.0,0.0,330.0,9.0,9.0,3.0,4.0
Aubergine-tomatensoep met flatbread,405.0,43.0,18.0,920.0,13.0,18.0,5.0,9.0
Aubergineballetjes met mascarponedip,110.0,5.0,0.0,80.0,4.0,8.0,2.0,1.0
Aubergineburgers met hummus,400.0,33.0,0.0,680.0,12.0,23.0,7.0,6.0
Auberginecurry met bloemkoolrijst,375.0,33.0,20.0,320.0,14.0,18.0,2.0,13.0
Auberginedip met walnoot,165.0,4.0,0.0,50.0,3.0,4.0,2.0,2.0
Auberginerisotto met geitenkaas en basilicum,480.0,64.0,0.0,1235.0,12.0,18.0,6.0,4.0
Aubergineschnitzels met mosterdsaus,530.0,64.0,8.0,760.0,13.0,23.0,4.0,7.0
Australische burger,540.0,35.0,0.0,0.0,32.0,32.0,0.0,0.0
Australische cake van Fokje,465.0,52.0,0.0,0.0,5.0,26.0,0.0,0.0
Avocado en een gepocheerd ei op toast,355.0,20.0,0.0,265.0,12.0,24.0,4.0,6.0
Avocado en hummus op brood,625.0,42.0,0.0,740.0,15.0,42.0,4.0,9.0
Avocado- of bananenijs,145.0,8.0,0.0,10.0,1.0,12.0,4.0,2.0
Avocado-ijs,250.0,6.0,5.0,0.0,2.0,23.0,3.0,5.0
Avocadodip,185.0,2.0,2.0,0.0,2.0,18.0,2.0,4.0
Avocadopannenkoekjes,150.0,4.0,0.0,120.0,4.0,13.0,5.0,2.0
Avocadoquinoasalade met zalm,515.0,28.0,0.0,60.0,26.0,32.0,10.0,7.0
Avocadosalade met Hollandse garnalen en mango,340.0,13.0,0.0,0.0,7.0,29.0,0.0,0.0
"Avocadosalade met aardbeien, frambozen en feta",520.0,48.0,0.0,790.0,18.0,26.0,9.0,9.0
Avocadosalade met rivierkreeftjes en sinaasappel,630.0,18.0,0.0,0.0,15.0,53.0,0.0,0.0
Aziatisch gemarineerde varkensspies met Chinese wokgroente,710.0,87.0,0.0,240.0,32.0,24.0,4.0,8.0
Aziatische balletjes met bloemkoolrijst &amp; salade,460.0,21.0,0.0,200.0,25.0,29.0,7.0,10.0
Aziatische bloemkoolrijstbowl met rodekool &amp; spinazie,455.0,22.0,0.0,600.0,35.0,21.0,4.0,20.0
Aziatische garnalen,320.0,11.0,0.0,1040.0,29.0,18.0,3.0,1.0
